note,lang
This popular variety exhibits quintessential bright flavors of apricot balanced with milk chocolate sweetness,en
"concord grape, chocolate, and a juicy body",en
"Look for notes of concord grape, chocolate, and a juicy body",en
"Expect flavors of black cherry, lime, and caramel",en
"Their latest creation is this anaerobic honey processed coffee, which has a sweet syrupy body and deep fruit tones of plum and red grape",en
"Grown in the Colombian Andes, they offer a unique tasting experience: the bright citrus and floral quality of these varieties are beautifully complemented by the sweet chocolate and stone fruit characteristics that define Nariño’s typical cup",en
blackberry and clementine,en
"Pronunciation: ""Eh-oo-dees Oh-rohs-ko",en
"blackberry, floral, and tropical fruit",en
"Expect sweet flavors of raspberry and honey, balanced by a tea-like body",en
The culmination of these efforts is in the cup: Sweet milk chocolate and almond flavors are balanced with a crisp citrus acidity and a nectarine-like finish,en
We find black currant and a range of juicy tropical fruits in our cups,en
Pronunciation: yo-NAL fer-NAN-dez,en
"raisin, chocolate, and brown sugar that epitomize the excellence emerging from Colasay",en
Pronunciation: la pal-ess-TEEN-uh mar-SHELL,en
"fig and cola, bolstered by a crisp finish",en
Pronunciation: in-TAHN-go,en
"apricot, citrus, and black tea—a classic Rwanda profile that keeps us coming back year after year",en
"We taste notes of apricot, citrus, and black tea—a classic Rwanda profile that keeps us coming back year after year",en
"The ever-changing selection of organic coffees guarantees a delightful balance of nutty and sweet notes, wrapped in a creamy body that will leave you craving another cup",en
"ripe blueberries, dried dates, and cocoa",en
"Both blends feature delightful nutty undertones, creating a cohesive tasting experience",en
"black currant, tamarind and sungold tomato",en
This year’s harvest boasts bright citrus balanced by currant and nectarine fruit tones,en
"Years of quality improvement have culminated in the bold, yet delicate flavors in the cup: bright grapefruit acidity balanced by black currant compote sweetness and a silky mouthfeel",en
"fuji apple, nectarine, and caramel",en
"The combination results in a complex coffee with big big notes of fuji apple, nectarine, and caramel",en
juicy stone fruit and red grapes rooted in deep chocolatey sweetness,en
"With low acidity and a medium-dark roast level, Big Trouble’s caramel, nutty, and round notes make it perfect for espresso",en
dark roasts,en
Pronunciation: pom-PEEL-ee-o gar-SEE-ah LOO-nuh,en
dark chocolate and dried fruit tied together with a panela-like sweetness,en
blueberry alongside delicate florals and sweet pastry,en
strawberry and lime atop a juicy body,en
"stone fruit & tangerine, and considers this one of our most dynamic offerings of the year! Pronunciation: ee-kwa-LIB-bree-um",en
apple and blueberry complemented by soft melon flavors,en
Pronunciation: MOWN-tin HAAR-vist,en
"citrus, ginger, and molasses",en
This year's harvest is juicy with tropical fruit and cherry flavors,en
Pedro’s hard work shines through in this year’s coffee harvest where we experience the sweet taste of dried cherry and milk chocolate,en
Pronunciation: Kew-wEE-Chi,en
"green grape, clementine, and milk chocolate",en
"graham cracker and molasses, Even Keel is a smooth and satisfying coffee that’s perfect all day long",en
"milk chocolate, raisin and nougat",en
"bergamot, kiwi, and sweet apple pastry",en
"Look for floral aromatics, crisp green apple brightness, and a smooth chocolate sweetness in the cup",en
Pronunciation: VIE-yay del san-TWAR-ee-o,en
"toffee, vanilla and dried fruit",en
"Sweet and approachable, look for balanced notes of toffee, vanilla and dried fruit",en
"At this roast level, we first notice a full and velvety body complemented by sweet flavors of dark chocolate and dried fig",en
Pronunciation: AL-toh  e-wuh-MAH-ka,en
milk chocolate and caramel with a crisp acidity reminiscent of green grapes,en
"The year's harvest offers bright, juicy, stone fruit and white grape flavors, imbued with a soft floral sweetness",en
"The coffee here is sweet like brown sugar, with round, buttery, almond tones that give way to a dried apricot finish",en
Pronunciation: Koosh-EE-Ka-mana,en
"Years of quality innovations have culminated in this big bodied coffee that has bright grapefruit acidity balanced by sweet, juicy blackberry flavors",en
Pronunciation: ah-soo-VEEM,en
"stone fruit and milk chocolate, accompanied by a syrupy body",en
"Enjoy notes of stone fruit and milk chocolate, accompanied by a syrupy body",en
"chocolate, blueberries, and marmalade evoke memories of cozy winter mornings and holiday traditions",en
"This award-winning coffee boasts sweet flavors of blackberry and tamarind, elevated by a lime-like acidity and a floral finish",en
This year’s Okoluu holds layers of berry flavors in balance with dark chocolate sweetness and a delicate floral finish,en
Pronunciation: seep-ah-KAHP-ah,en
"stone fruit and simple syrup atop a uniquely juicy mouthfeel, the coffee from Sipacapa invites you to savor the tangible fruits of their transformatio",en
Look for syrupy sweet fig and blackberry tones balanced by bright grapefruit-like citrus and a delicate floral finish,en
"This season’s lot delivers classic flavors of pear, dark chocolate, and almond",en
magnolia blossoms,en
"vanilla, cola, and dried cherry",en
limeade,en
Look for flavors of raisin and vanilla layered atop this coffee's silky body,en
"Their drive and dedication to coffee and community shine through in this exceptional lot, laden with sweet and juicy blackberry flavors balanced by crisp grapefruit-like citrus tones",en
"In this small lot, we find flavors of dried apricot and honey, bolstered by a tea-like mouthfeel",en
fresh blueberry and citrus,en
Pronunciation: DEE-caf ur-coo-NEE-nuh,en
"maple syrup, green grape, and a silky body",en
HWAN-uh ES-co-bar GAS-par,en
"citrus, plum, and golden raisin in this densely sweet coffee",en
"Enjoy notes of citrus, plum, and golden raisin in this densely sweet coffee",en
Pronunciation: GUN-dee-kahn Estate,en
"tamarind, chocolate, and clove",en
"The result is a feel-good coffee with sweet notes of tamarind, chocolate, and clove",en
Pronunciation: PAH-blo cor-DOE-ba,en
"This year’s harvest has bright, punchy cranberry notes that are balanced by a juicy blood orange sweetness",en
"We taste roasted cocoa, with a sweet cashew nuttiness and dried cherry finish",en
Pronunciation: con-SEP-see-ohn haw-WEE-sta,en
"cherry and apple and have a round, creamy body",en
rose hips & pink lemonade,en
"concord grape, strawberry, and a cashew finish",en
Pronunciation: FEEN-ka el PWEHN-teh,en
"nougat and cocoa, accented by an apricot acidity",en
"pecan, vanilla, and red apple",en
"This year’s efforts have yielded a sweet and approachable coffee with notes of pecan, vanilla, and red apple",en
Pronunciation: ee-DEE-doe,en
"With flavors of stone fruit, citrus, chocolate, Kabeywa stands as a remarkable and forward-thinking representation of washed Ugandan coffee",en
"green grape, almond, and milk chocolate",en
"Look for notes of green grape, almond, and milk chocolate",en
bubble gum and grapefruit,en
fig alongside syrupy notes of molasses and dark chocolate,en
vanilla and hazelnut,en
Pronunciation: boo-CHEER-oh,en
"berry, blood orange, and cocoa nibs",en
"juicy fig and sweet dark chocolate, this coffee embodies the depth of the partnerships that make it possible",en
pear and almond,en
Pronunciation: DAH-me-en es-pee-NO-za,en
"chocolate, cherry, and panela",en
"We taste notes of chocolate, cherry, and panela",en
"golden raisin, almond, and caramel",en
"The resulting coffee delivers flavors reminiscent of golden raisin, almond, and caramel",en
"brown sugar, orange, and graham cracker",en
This coffee is brimming with fruit complexity—sweet nectarine and bright blood orange flavors give way to more tropical fruit tones as the cup cools,en
"This year, Nuevo Amanecer was a standout, with syrupy sweetness and complex interplay of pomegranate and red-grape tones",en
"Meticulous coffee cherry selection and processing lead to dynamic and fruity flavors of fig and strawberry, complemented by a bright acidity",en
Pronunciation: PEM-bah,en
clementine intermingled with flavors of honey and a tea-like body,en
The coffee is classic Nariño: dried fruit notes complement a sweet caramel and chocolate base,en
"black cherry, dried date, and molasses",en
Pronunciation: VAH-yeh EEN-kah,en
"sweet golden raisin and creamy nougat, thanks to its blend of Bourbon and Typica varieties",en
per,en
“Quantity” indicates the number of bags per shipment and not duration,en
"molasses and cocoa, Slow Motion is equally delicious as any of our caffeinated coffees",en
"Forty-Six boasts a full-bodied profile where dark chocolate sweetness meets a smoky, roast-forward intensity",en
ripe fruit and chocolate create a multidimensional flavor experience that’s as complex as it is approachable,en
Pronunciation:  Lah go-lun-DREE-nuh,en
vibrant acidity.,en
"dark chocolate, roasted nuts, and berries, Gradient is the perfect choice for coffee lovers who appreciate a dense and complex brew with a vibrant aci",en
“Quantity” indicates the number of bags per shipment—in increments of two—and not duration,en
Apollo is a year-round celebration of the delightful floral and citrus notes that Ethiopian coffees are renowned for,en
"For a coffee called Big Trouble, this blend delivers nutty, caramel, and chocolate flavors that are easy to love",en
cherry and pomegranate throughout,en
"Ingredients 100% Hojicha Powder made from roasted green tea leaves Size 30g Flavor Notes Toasty, Nutty, Sweet with mild smokiness Cultivar Yabukita Process Steamed green tea leaves are roasted at high temperatures then milled and finely ground into powder",en
"ripe apricot, black tea and floral honey to the forefront — crafted for moments of creative inspiration and connection",en
"This set brings together thoughtfully crafted tools that support smooth whisking, clean prep, and a ritual that feels intentional from start to finish",en
"fig, blackberry, and caramelized sugars throughout the drinking experience",en
"Expect notes of fig, blackberry, and caramelized sugars throughout the drinking experience",en
"58 mm bottomless portafilter - with ergonomic plastic handle (Black only), Walnut wood handle (Cherry Red only), or Maple wood handle (Malted Chocolate only)",en
"Tamper - with ergonomic aluminum handle (Black only), Walnut wood handle (Cherry Red only), or Maple wood handle (Malted Chocolate only)",en
"tart citrus like grapefruit, finishing with the sweetness of butterscotch",en
"As you drink, you will experience notes of tart citrus like grapefruit, finishing with the sweetness of butterscotch",en
apricot and sweet cane sugar,en
"Expect balanced and sweetness throughout the drinking experience, with prominent notes of apricot and sweet cane sugar",en
"pineapple and green apple, with the soft tannins of white tea",en
"lemon and cherry, the cacao from the Kokoa Kamili Fermentary in central Tanzania is a standout in the craft chocolate world",en
texture to make this citrus bomb of a chocolate bar,en
"As a 70% dark chocolate, the nuances are drawn out with just the right balance of sweetness to be super approachable",en
mango and dark chocolate,en
sweet lemon and grapefruit,en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
"Grape and rose are the most forward notes in the cup, starting the journey of this complex flavor profile",en
plums in it's sweetness,en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.""",en
"jasmine and black tea lend a balancing dryness, while a gentle citrus acidity and melon sweetness build a balance throughout",en
"Southern Weather strikes balance with milk chocolate sweetness, citrus lift, and the familiarity of toasted nuts.",en
cocoa and a touch of fruit acidity,en
"Southern Weather strikes balance with milk chocolate sweetness, citrus lift, and the familiarity of toasted nuts",en
"Geometry, our personal favorite, is a modern, light-roasted blend with a layered profile of florals and tea-like clarity.",en
fruit,en
"milk chocolate, citrus, and toasted nuts",en
berries and dark chocolate,en
sweet lemon and grapefruit,en
"Sourced from peak outturns, it allows us to offer this seasonal single-origin, rich with deep chocolate and burned citrus notes",en
"pink lemonade, with a long, sweet and fruited finish",en
"This micro-lot boasts an acidity and sweetness reminiscent of pink lemonade, with a long, sweet and fruited finish",en
spiced berry compote and a lingering sweetness reminiscent of warm cobbler,en
blue and yellow on your favorite denim jacket might just help create the jacket of your dreams,en
soft chamomile and mineral-forward raw sugar,en
"Cocoa, Dates and a thicken creamy texture",en
"berries and plum, along with the tannins and sweetness of sweet tea, you'll be leaving the house wearing shorts all year long",en
mineral-forward raw sugar and a peach-like sweetness throughout,en
"I f it's still 80+ where you live, please consider delaying your purchase and as always choose commercial address delivery when possible and track your shipment closely and bring it inside as soon as possible",en
"I f it's still 80+ where you live, please consider delaying your purchase and as always choose commercial address delivery when possible and track your shipment closely and bring it inside as soon as",en
"I f it's still 80+ where you live, please consider delaying your purchase and as always choose commercial address delivery when possible and track your shipment closely and bring it inside as soon as possible",en
"I f it's still 80+ where you live, please consider delaying your purchase and as always choose commercial address delivery when possible and track your shipment closely and bring it inside as soon as",en
"I f it's still 80+ where you live, please consider delaying your purchase and as always choose commercial address delivery when possible and track your shipment closely and bring it inside as soon as possible",en
"I f it's still 80+ where you live, please consider delaying your purchase and as always choose commercial address delivery when possible and track your shipment closely and bring it inside as soon as",en
Grape and rose are the most forward notes in the cup & starts the journey of this complex flavor profile,en
"The cup is richly sweet, with a vivid red fruit note that threads through caramelized sugars",en
apricot and sweet tea throughout,en
ripe pineapple and blackberries in the cup,en
"sweet apple, citric acidty, and a layered and juicy tactile, this microlot shows just why it is an estate we return to each year",en
"jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
"Expect notes of jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
"Floral acidity, delicate fruit, and a sweetness anchored throughout the drinking experience",en
"strawberry and rose, this Gesha is bright and tart, with the delicate and elegant florals you’d come to expect from a top Gesha grown in Panama",en
"orange, tart apple, and chamomile flowers, creating a clean, balanced expression of Mt",en
"grape, with an inherent sweetness of semi-sweet dark chocolate",en
almonds and sweet red apple,en
high-quality matcha,en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
"almond and dried apricot lend a rich, honeyed sweetness, while a gentle citrus acidity brings balance and vibrancy",en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
"lime and soft spice like cloves, much of the terroir has been retained through their proprietary decaffeination method",en
"jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
"Expect notes of jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
"With delicate floral notes, and a bright, honied acidity, this coffee shines as a filter brew",en
"grape, citrus, and caramelized sugars throughout the drinking experience",en
"Expect notes of grape, citrus, and caramelized sugars throughout the drinking experience",en
"ripe cherry and citric fruits, this Java showcases the best parts of the taste of variety paired with expert processing",en
"raisin and plum, with a tannic finish reminiscent of black tea",en
stone fruit and florals throughout,en
apricot and complex black tea,en
cherry and tart citrus,en
"mango and lime, with a confectionary sweetness throughout",en
"The resultant coffees are clean, bright, and profoundly expressive",en
"apricot, berries, and caramelized sugars throughout the drinking experience",en
"Expect notes of apricot, berries, and caramelized sugars throughout the drinking experience",en
"It is intensely sweet in the cup, balanced by a tart, citric acidity",en
"cherry, with a complex finish of honey and stone fruit",en
"Expect a winey and fruity cup reminiscent of cherry, with a complex finish of honey and stone fruit",en
"raspberry and violet, this Gesha is bright and tart, with the delicate and elegant florals you’d come to expect from a top Gesha grown in Panama",en
"This naturally sugar-dense coffee is roasted to showcase complex caramelized notes, complemented by dark chocolate and luscious undertones of berries",en
sweet lemon and grapefruit,en
"lychee, lime, and florals throughout",en
"It combines the art of hand-brewing with the convenience of automation, so every cup is smooth, rich, and perfectly balanced—whether you're a purist or just starting your coffee journey",en
"dried cherry and orange blossom, it is the perfect marriage of process and cup clarity",en
"nectarine and earl grey, it is the perfect marriage of process and cup clarity",en
"dried cherry and orange blossom, it is the perfect marriage of process and cup clarity",en
plum and cacao nib,en
"Jasmine, Spearmint, Brown Sugar Cooling, Floral Ingredients: Organic Sencha China Rainforest Green Tea Organic Jasmine Green Tea Organic Spearmint Leaves Brewing Instructions: Steep 1 tea pouch in 2 q",en
"berries and plum, along with the tannins and sweetness of sweet tea, you'll be leaving the house wearing shorts all year long",en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
dark chocolate and lush berries—ready to dissolve instantly into hot water or your preferred milk,en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
"The result is a beautifully structured but bright cup with clarity, complexity, and a silky tactile",en
"This is available in a pack of six pre-portioned bags of soluble coffee, which will readily dissolve into hot water or your preferred milk product.",en
"red apple and raw sugar create a comforting depth, while a balanced acidity reminiscent of pear brings gentle brightness",en
"Vanilla, Oak and cherry come to the forefront",en
"Extracts very easily and notes of Vanilla, Oak and cherry come to the forefront",en
"peach, mixed berry, raw sugar, and dark chocolate",en
"Enjoy notes of peach, mixed berry, raw sugar, and dark chocolate",en
"The cup is floral, sweet and comforting",en
"dried cherry and orange blossom, it is the perfect marriage of process and cup clarity",en
"mineral-forward brown sugar, it is balanced with tart apple and orange acidities",en
watermelon and red berries in this experimental process-forward cup,en
apricot and sweet cane sugar,en
"Expect balanced and sweetness throughout the drinking experience, with prominent notes of apricot and sweet cane sugar",en
"pineapple and green apple, with the soft tannins of white tea",en
"tropical fruits and delicate florals, underscored by a bright, lively acidity",en
tropical fruit throughout the drinking experience,en
tart orange and stone fruit throughout the drinking experience,en
"sweet stone fruit and melon, we chose to highlight this micro-lot as a Roasters Choice exclusive offering",en
"strawberry and jasmine, with a clean, floral finish that highlights the exceptional care taken in its production",en
"With the accolades of Brewers Champion two times running, this Gesha proves itself within the cup, with complex berry notes and delicate florals",en
soft chamomile and mineral-forward raw sugar,en
berries and dark chocolate,en
"Using pure Ecuadorian Nacional Hybrid varietals, Esmeraldas yields dependable cacao at its finest with predominant fudge and cocoa notes with subtle floral and berry undertones",en
"cherry, lemon, and woodsy undertones",en
blackberry and papaya,en
sweet lemon and grapefruit,en
florals and a tea-like character throughout the drinking experience,en
orange and a lasting sweetness of brown sugar throughout,en
"Auto MilQ™ delivers silky microfoam hands-free, with settings optimized for dairy, soy, almond and oat, plus Auto Queue your milk to start automatically once extraction has finished",en
"jasmine, honey, and ripe stone fruit, this washed offering hits all the marks we love about washed coffees from this region",en
"peach and mango, perfectly balancing the florals from the Gesha variety",en
"nectarine, honeydew melon, and clove with a round mouthfeel",en
"yellow pear and jasmine, with a tea-like mouthfeel",en
"jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
"Expect notes of jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
cherry and tart citrus,en
"jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
"Expect notes of jasmine and pineapple, with a slightly herbal sweetness reminiscent of honey",en
East African coffees,en
honey and yellow pear,en
white flower like honeysuckle and tart lime,en
jasmine and lime,en
ripe citrus and hibiscus tea,en
watermelon and floral rose,en
"dark chocolate and the subtleties of lush, nearly winey berries that solidify why this blend reigns supreme",en
"tangerine and mango, no doubt contributed by the addition of tangerine peel as the coffee is dried and stored",en
"peach and mango, perfectly balancing the florals from the Gesha variety",en
"white peach and complex fruit, with a structured acidity, yielding a harmonic cup",en
"red fruit reminiscent of strawberry and raspberry, along with a complexity of sweet dark chocolate, creating a complex and balanced drinking experienc",en
citrus and grapefruit,en
plum and cacao nib,en
"strawberry, followed by distinct florals throughout the cup",en
"Expect high-clarity notes of strawberry, followed by distinct florals throughout the cup",en
"stone fruit and white grape, with a long sweetness of honey, making a bright but balanced cup",en
"Ginger, Yuzu, Orange, Refreshing, Smooth Ingredients: Organic Indian Black Tea, Organic Chinese Green Tea, Organic Ginger Root, Organic Brazilian Yerba Mate, Eleuthero Root, Vitamin C, Natural & Organ",en
peaches and honeycomb in sweetness,en
Grape and rose are the most forward notes in the cup & starts the journey of this complex flavor profile,en
"white tea and lime, this heirloom variety is complex in its citric acidity, with the sweetness of ripe peach which lingers on the palate",en
"Well-developed and dense, this coffee boasts burned citrus and deep chocolate notes",en
ripe citrus and hibiscus tea,en
"grape, cacao, pineapple and violet",en
"This naturally sugar-dense coffee is roasted to showcase complex caramelized notes, complemented by dark chocolate and luscious undertones of winey berries",en
"cocoa and dates in this intentionally crafted blend, perfect for cold extraction to indulge in a rich, creamy experience",en
"mineral-forward brown sugar, it is balanced with tart apple and orange acidities",en
"This naturally sugar-dense coffee is roasted to showcase complex caramelized notes, complemented by dark chocolate and luscious undertones of winey berries",en
"cocoa and dates in this intentionally crafted blend, perfect for cold extraction to indulge in a rich, creamy experience",en
"fruit, chocolate, and nuts in your coffee",en
berries and a vanilla sweetness throughout,en
"Their feel-good synths and sounds will resonate perfectly with your brew because this coffee combines delicate sweet floral honey with juicy plum texture and bright berry notes that match the vibrant, happy tunes from songs by joan",en
"These hopper cards are available for Southern Weather, Tropical Weather, Monarch, and Geometry.",en
"walnut, citrus and apple",en
The steeped cup presents a vivid pink hue with smooth hibiscus flower and juicy rose hip pods creating warm floral aromas,en
""" The incorporation of rolled oat lends a creamy texture, while the cinnamon pieces and natural vanilla and honey flavorings bring a comforting sweetness",en
"walnut, hints of sweetness, and light cocoa finish",en
"Enjoy a rich, smooth cup with mild notes of walnut, hints of sweetness, and light cocoa finish",en
grapefruit peel and fragrant citrus,en
"jasmine and white honey, with a thick sweetness like honeydew melon throughout the cup",en
"Expect delicate notes of jasmine and white honey, with a thick sweetness like honeydew melon throughout the cup",en
"Within this coffee blend, enjoy a pairing of washed processed Ethiopian and Colombian coffees that evoke bright citrus notes with a light tea-like body",en
"In the jasmine green tea, delicate floral aromas and a mellow hazelnut sweetness will wash over you while providing sustained energy through your day",en
grapefruit peel and fragrant citrus,en
"It is a long road home, and this blend is rich and dense with chocolate notes and complex sweetness",en
"We love this variety for it's complex watermelon note, which we experience alongside tart white grape and jasmine florals",en
dried berries on the finish,en
For this offering we start with premium cacao from south central India near Coimbatore that has an incredible bright fruit flavor with caramel undertones,en
"Next, a gentle, spicy kick arrives from the addition of a Korean Red Pepper and a sweet fruity finish from dried mango bits",en
"Note: Please know that we will be holding full orders until Mondays to protect all chocolate from warm settings during transit. If you include a pack of chocolate in your order, all items will be held until the following Monday.",en
Please know that we will be holding full orders until Mondays to protect all chocolate from warm settings during transit,en
"caramel and molasses, this chocolate is the ideal pairing for bourbon or Scotch",en
"With classic cocoa notes and hints of caramel and molasses, this chocolate is the ideal pairing for bourbon or Scotch",en
Please know that we will be holding full orders until Mondays to protect all chocolate from warm settings during transit,en
"pineapple sugar, with delicate notes of jasmine and black tea, with a lasting tropical fruit sweetness",en
"Expect notes of pineapple sugar, with delicate notes of jasmine and black tea, with a lasting tropical fruit sweetness",en
"dried cherry and grapefruit, this anaerobic natural backs up its fruit-forward nature with organic acids, providing a truly unique coffee experience",en
raspberry and cacao nib,en
A silky mouthfeel tasting of dark chocolate and apple ends with a long and complex almond finish,en
"While the Black Honey process is fruit laden in the cup, with fresh stone fruit and finishing with raw honey",en
"sophisticated berries, honey, and a mango drinking yogurt",en
"This honey processed coffee is fruit laden in the cup, with fresh stone fruit and finishing with raw honey",en
"This Pacamara variety displays a wonderful assortment of juicy stone fruits, sweet nuts, and cocoa tea-like notes",en
"raspberry and rose, with the tannins of black tea",en
Juicy Peach and chamomile-like notes drift from the aroma upon brewing,en
"With risk comes great reward, and in this case that’s in the form of raspberry, rose, cacao, tart apple notes all with a boozy style finish",en
"For this year’s harvest, we noticed a delicate stone fruit and a silky, bright mouthfeel",en
"We pair together two a washed-process Ethiopia that exudes florals, botanicals, and fragrant tea like notes with a washed-process Colombia that is honey forward and silky in texture",en
"A honey-like sweetness is the prevalent note in filter extraction, making this coffee both complex and comforting",en
"It’s extremely clean and silky in texture, animating complex Earl Grey and bergamot notes",en
"This variety was discovered in the Sudan mountains of Marsabit and has just recently hit popularity within the niche specialty coffee scene due to its consistent, juicy, tactile and exorbitant tropical fruit flavors",en
"Search the cup for winey, ripe mango and vanilla",en
cherry and honeycrisp apple,en
"This peerlessly clean, natural coffee speaks with notes of cherry and honeycrisp apple",en
"The results are not just about removing mucilage from the coffee seeds (beans) like normal processing, but converting soluble sugars and organic acids creating extraordinary tropical fruit and delicate floral flavors",en
stone fruit that start bright like apricot or cherry and then transform as it rests resembling peach and plum,en
"For those who like adventure and clean ferment, this is a big, jammy, fruit-forward, naturally sweet coffee",en
"Thick, floral, and intoxicating, this strawberry forward naturally processed coffee is special",en
"stone fruit, cocoa, and citrus",en
"Decaffeinated with a natural water process instead of chemical soaking, this decaf is clean, sweet and complex",en
"Fresh, clean tropical fruit that embosses itself on the palate",en
"Geometry is floral, sweet, and our personal favorite blend to drink at home",en
"Let's walk through them, shall we? Monarch is our most developed blend for those that love coffee a bit darker, followed by Southern Weather, a medium roast that tastes of chocolate, citrus, and nuts",en
"ripe peach and cocoa, with a sweet finish of brown sugar",en
"The resulting cup is silky sweet and reminiscent of ripe peach and cocoa, with a sweet finish of brown sugar",en
"At elevations above 2,000 meters, slow maturation refines the coffee’s acidity and structure, resulting in a balanced profile with citrus lift and soft, rounded sweetness",en
"Tart yet smooth, it opens with crisp Red Apple, layered Milk Chocolate, and Butterscotch sweetness",en
"Balanced and bright, the Grateful Dead blend is easy-drinking with layered complexity",en
"A clean finish brings it all together, offering a smooth cup that’s as timeless as the music that inspired it",en
"This washed Pacamara opens with bright Tangerine and crisp Lemongrass, balanced by the sweetness of Raw Sugar",en
"Balanced and layered, it’s a rounded cup that highlights both structure and sweetness",en
Peach and Jasmine balanced by the gentle sweetness of Simple Syrup,en
"Bright and layered, Gogogu offers elegant notes of Peach and Jasmine balanced by the gentle sweetness of Simple Syrup",en
"Silky, floral, and refined from start to finish",en
"Tart and vibrant, this washed lot opens with ripe Plum and crisp Green Apple, anchored by the sweetness of Cane Sugar",en
"Balanced and structured, it’s a bright yet grounded cup that exemplifies washed Honduran coffees",en
"Grown at high elevation in Nariño and processed naturally, the coffee benefits from slow fermentation and extended drying in a cool climate, allowing fruit and floral notes to build density while staying clean",en
"Floral Jasmine leads the aromatics, followed by a sweet Simple Syrup softness and a lingering Peach-like finish",en
"Bright, clean and deeply refined, it opens with clarity and settles into a silky, layered sweetness",en
"Layered and balanced, it offers a clean, lively cup that carries clarity and sweetness from hot to cool",en
"Washed processing delivers a notably clean cup, allowing Black Cherry and Lime notes to remain clear and focused, while a restrained Cacao undertone contributes depth and nuance",en
"By leaving a portion of mucilage on the parchment during drying, the White Honey method enhances roundness while maintaining a clean, transparent cup",en
"The Parainema cultivar anchors the profile, contributing smooth texture and approachable structure, resulting in a balanced, consistent, and easy-to-enjoy profile",en
"His washed Pacamara opens with bright Blackberry and ripe Plum, settling into a smooth Honey sweetness that lingers",en
"Idido greets the palate with juicy Blackberry and a silky Sweet Cream texture, rounded by a gentle touch of Pine",en
